Configuration,IsEqual,Precision,Recall,F-measure
00234,1,1.0,1.0,1.0
00235,1,1.0,1.0,1.0
00236,1,1.0,1.0,1.0
00237,1,1.0,1.0,1.0
00238,0,1.0,0.996085524559021,0.9980389475822449
00239,1,1.0,1.0,1.0
00240,1,1.0,1.0,1.0
00241,1,1.0,1.0,1.0
00242,1,1.0,1.0,1.0
00243,0,1.0,0.9906976819038391,0.9953271150588989
00244,0,1.0,0.9949549436569214,0.9974710941314697
00245,0,1.0,0.9956756830215454,0.9978331327438354
00246,0,1.0,0.9924050569534302,0.9961880445480347
00247,1,1.0,1.0,1.0
00248,0,1.0,0.996085524559021,0.9980389475822449
00249,1,1.0,1.0,1.0
00250,1,1.0,1.0,1.0
00251,1,1.0,1.0,1.0
00252,0,1.0,0.9908204078674316,0.9953890442848206
00253,0,1.0,0.996085524559021,0.9980389475822449
00254,1,1.0,1.0,1.0
00255,1,1.0,1.0,1.0
00256,0,1.0,0.9913941621780396,0.9956784844398499
00257,1,1.0,1.0,1.0
00258,0,1.0,0.9900731444358826,0.9950118064880371
00259,0,1.0,0.9938596487045288,0.9969203472137451
00260,0,1.0,0.9951884746551514,0.9975884556770325
00261,0,1.0,0.9956970810890198,0.9978439211845398
00262,0,1.0,0.9950752258300781,0.997531533241272
00263,1,1.0,1.0,1.0
00264,0,1.0,0.9959876537322998,0.9979897737503052
00265,0,1.0,0.9962962865829468,0.9981446862220764
00266,1,1.0,1.0,1.0
00267,0,1.0,0.9947565793991089,0.9973713755607605
00268,1,1.0,1.0,1.0
00269,1,1.0,1.0,1.0
00270,1,1.0,1.0,1.0
00271,1,1.0,1.0,1.0
00272,1,1.0,1.0,1.0
00273,1,1.0,1.0,1.0
00274,0,1.0,0.9951884746551514,0.9975884556770325
00275,0,1.0,0.996085524559021,0.9980389475822449
00276,1,1.0,1.0,1.0
00277,1,1.0,1.0,1.0
00278,0,1.0,0.9945054650306702,0.997245192527771
00279,0,1.0,0.9940059781074524,0.9969940185546875
00280,1,1.0,1.0,1.0
00281,0,1.0,0.9930379986763,0.9965068697929382
00282,1,1.0,1.0,1.0
00283,1,1.0,1.0,1.0
00284,0,1.0,0.9925925731658936,0.9962825179100037
00285,1,1.0,1.0,1.0
00286,0,1.0,0.9947753548622131,0.9973808526992798
00287,1,1.0,1.0,1.0
00288,0,1.0,0.992171049118042,0.996070146560669
00289,0,1.0,0.9950366020202637,0.9975121021270752
00290,0,1.0,0.9962962865829468,0.9981446862220764
00291,1,1.0,1.0,1.0
00292,0,1.0,0.9961948394775391,0.9980937838554382
00293,0,1.0,0.9965189695358276,0.9982564449310303
00294,1,1.0,1.0,1.0
00295,0,1.0,0.9942666292190552,0.9971250891685486
00296,0,1.0,0.9959876537322998,0.9979897737503052
00297,1,1.0,1.0,1.0
00298,0,1.0,0.9953488111495972,0.997668981552124
00299,1,1.0,1.0,1.0
00300,1,1.0,1.0,1.0
00301,1,1.0,1.0,1.0
00302,0,1.0,0.9939862489700317,0.99698406457901
00303,1,1.0,1.0,1.0
00304,1,1.0,1.0,1.0
00305,0,1.0,0.9964297413825989,0.998211681842804
00306,1,1.0,1.0,1.0
00307,1,1.0,1.0,1.0
00308,1,1.0,1.0,1.0
00309,1,1.0,1.0,1.0
00310,1,1.0,1.0,1.0
00311,1,1.0,1.0,1.0
00312,0,1.0,0.9962962865829468,0.9981446862220764
00313,1,1.0,1.0,1.0
00314,0,1.0,0.9959876537322998,0.9979897737503052
00315,0,1.0,0.9930379986763,0.9965068697929382
00316,1,1.0,1.0,1.0
00317,0,1.0,0.991771936416626,0.995868980884552
00318,1,1.0,1.0,1.0
00319,0,1.0,0.9938482642173767,0.9969146251678467
00320,1,1.0,1.0,1.0
00321,0,1.0,0.9911842346191406,0.9955726265907288
00322,1,1.0,1.0,1.0
00323,1,1.0,1.0,1.0
00324,1,1.0,1.0,1.0
00325,0,1.0,0.9949211478233337,0.9974541068077087
00326,1,1.0,1.0,1.0
00327,1,1.0,1.0,1.0
00328,0,1.0,0.9987927675247192,0.999396026134491
00329,1,1.0,1.0,1.0
00330,0,1.0,0.9965189695358276,0.9982564449310303
00331,1,1.0,1.0,1.0
00332,1,1.0,1.0,1.0
00333,0,1.0,0.9956970810890198,0.9978439211845398
00334,1,1.0,1.0,1.0
00335,0,1.0,0.995885968208313,0.9979387521743774
00336,1,1.0,1.0,1.0
00337,1,1.0,1.0,1.0
00338,1,1.0,1.0,1.0
00339,0,1.0,0.9943859577178955,0.9971850514411926
00340,0,1.0,0.995087742805481,0.9975378513336182
00341,1,1.0,1.0,1.0
00342,0,1.0,0.992171049118042,0.996070146560669
00343,0,1.0,0.9970030188560486,0.9984992146492004
00344,0,1.0,0.995087742805481,0.9975378513336182
00346,0,1.0,0.9938482642173767,0.9969146251678467
00347,0,1.0,0.9943898916244507,0.997187077999115
00348,0,1.0,0.9954102039337158,0.9976997971534729
00349,0,1.0,0.9898422956466675,0.9948952198028564
00350,1,1.0,1.0,1.0
00351,1,1.0,1.0,1.0
00352,0,1.0,0.9966700077056885,0.9983322024345398
